,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,220.0,0.0,-220.0,0.3437,0.46885,0.7501,seafloor,seafloor_series,6,1
1,220.0,120.0,-220.0,0.3437,0.54935,0.7501,seafloor,seafloor_series,6,1
2,520.0,0.0,-220.0,0.5201,0.46885,0.7501,seafloor,seafloor_series,6,1
3,520.0,120.0,-220.0,0.5201,0.54935,0.7501,seafloor,seafloor_series,6,1
4,820.0,0.0,-220.0,0.7062,0.46885,0.7501,seafloor,seafloor_series,6,1
5,820.0,120.0,-220.0,0.7062,0.54935,0.7501,seafloor,seafloor_series,6,1
7,720.0,0.0,-480.0,0.6561,0.46885,0.59385,rock1,right_series,4,2
6,720.0,120.0,-480.0,0.6561,0.54935,0.59385,rock1,right_series,4,2
8,920.0,0.0,-480.0,0.7701,0.46885,0.59385,rock1,right_series,4,2
9,920.0,120.0,-480.0,0.7701,0.54935,0.59385,rock1,right_series,4,2
13,720.0,0.0,-720.0,0.6561,0.46885,0.4376,rock2,right_series,5,2
12,720.0,120.0,-720.0,0.6561,0.54935,0.4376,rock2,right_series,5,2
11,920.0,0.0,-720.0,0.7701,0.46885,0.4376,rock2,right_series,5,2
10,920.0,120.0,-720.0,0.7701,0.54935,0.4376,rock2,right_series,5,2
14,320.0,0.0,-220.0,0.4061,0.46885,0.7501,onlap_surface,onlap_series,3,3
15,320.0,120.0,-220.0,0.4061,0.54935,0.7501,onlap_surface,onlap_series,3,3
16,720.0,0.0,-1020.0,0.6561,0.46885,0.2501,onlap_surface,onlap_series,3,3
17,720.0,120.0,-1020.0,0.6561,0.54935,0.2501,onlap_surface,onlap_series,3,3
18,580.0,0.0,-520.0,0.5626,0.46885,0.5626,onlap_surface,onlap_series,3,3
19,580.0,120.0,-520.0,0.5626,0.54935,0.5626,onlap_surface,onlap_series,3,3
20,120.0,0.0,-420.0,0.2812,0.46885,0.6251,rock3,left_series,2,4
21,120.0,120.0,-420.0,0.2812,0.54935,0.6251,rock3,left_series,2,4
22,480.0,0.0,-1020.0,0.5001,0.46885,0.2501,rock3,left_series,2,4
23,480.0,120.0,-1020.0,0.5001,0.54935,0.2501,rock3,left_series,2,4
24,320.0,0.0,-520.0,0.4061,0.46885,0.5626,rock3,left_series,2,4
25,320.0,120.0,-520.0,0.4061,0.54935,0.5626,rock3,left_series,2,4
26,400.0,0.0,-800.0,0.46885,0.46885,0.3751,new_rock4,new_series,7,5
27,400.0,120.0,-800.0,0.46885,0.54935,0.3751,new_rock4,new_series,7,5
