,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series
0,250.0,50.0,-300.0,0.3751,0.5001,0.7501,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,top_surface,top_series,1,1
1,600.0,50.0,-600.0,0.6251,0.5001,0.59385,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,layer1,middle_series,2,2
2,350.0,50.0,-800.0,0.46885,0.5001,0.4376,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,layer2,middle_series,3,2
3,200.0,50.0,-600.0,0.3751,0.5001,0.59385,0.6427876096875393,1.0000469066937634e-12,0.766044443119978,40.0,90.0,1.0,layer2,middle_series,3,2
4,100.0,50.0,-700.0,0.2501,0.5001,0.4376,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,basement_surface,basement_series,4,3
5,500.0,50.0,-1000.0,0.53135,0.5001,0.2501,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,basement_surface,basement_series,4,3
6,700.0,50.0,-950.0,0.6876,0.5001,0.3126,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,intrusion,intrusion_series,5,4
7,550.0,50.0,-900.0,0.59385,0.5001,0.3126,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,intrusion,intrusion_series,5,4
8,650.0,50.0,-1050.0,0.6561,0.5001,0.18755,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,intrusion,intrusion_series,5,4
9,450.0,50.0,-850.0,0.53135,0.5001,0.3751,0.6427876096875393,1.0000469066937634e-12,0.766044443119978,40.0,90.0,1.0,intrusion,intrusion_series,5,4
