,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,100.0,0.0,0.0,0.2501,0.46885,1.0,top_surface,top_series,1,1
1,100.0,100.0,0.0,0.2501,0.53135,1.0,top_surface,top_series,1,1
2,300.0,0.0,0.0,0.3751,0.46885,1.0,top_surface,top_series,1,1
3,300.0,100.0,0.0,0.3751,0.53135,1.0,top_surface,top_series,1,1
4,500.0,0.0,0.0,0.5001,0.46885,1.0,top_surface,top_series,1,1
5,500.0,100.0,0.0,0.5001,0.53135,1.0,top_surface,top_series,1,1
6,200.0,0.0,-200.0,0.3126,0.46885,0.7501,layer1,middle_series,2,2
7,200.0,100.0,-200.0,0.3126,0.53135,0.7501,layer1,middle_series,2,2
8,400.0,0.0,-200.0,0.4376,0.46885,0.7501,layer1,middle_series,2,2
9,400.0,100.0,-200.0,0.4376,0.53135,0.7501,layer1,middle_series,2,2
10,600.0,0.0,-400.0,0.5626,0.46885,0.6251,layer1,middle_series,2,2
11,600.0,100.0,-400.0,0.5626,0.53135,0.6251,layer1,middle_series,2,2
12,150.0,0.0,-400.0,0.28135,0.46885,0.6251,layer2,left_series,3,3
13,150.0,100.0,-400.0,0.28135,0.53135,0.6251,layer2,left_series,3,3
14,350.0,0.0,-600.0,0.40635,0.46885,0.5,layer2,left_series,3,3
15,350.0,100.0,-600.0,0.40635,0.53135,0.5,layer2,left_series,3,3
16,250.0,0.0,-800.0,0.3436,0.46885,0.3751,layer3,right_series,4,4
17,250.0,100.0,-800.0,0.3436,0.53135,0.3751,layer3,right_series,4,4
18,450.0,0.0,-800.0,0.46885,0.46885,0.3751,layer3,right_series,4,4
19,450.0,100.0,-800.0,0.46885,0.53135,0.3751,layer3,right_series,4,4
20,550.0,0.0,-1000.0,0.53135,0.46885,0.2501,basement,basement_series,5,5
21,550.0,100.0,-1000.0,0.53135,0.53135,0.2501,basement,basement_series,5,5
