,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,150.0,0.0,-100.0,0.3126,0.46885,0.7501,top_surface,top_series,1,1
1,150.0,100.0,-100.0,0.3126,0.53135,0.7501,top_surface,top_series,1,1
2,350.0,0.0,-100.0,0.5001,0.46885,0.7501,top_surface,top_series,1,1
3,350.0,100.0,-100.0,0.5001,0.53135,0.7501,top_surface,top_series,1,1
4,550.0,0.0,-100.0,0.6876,0.46885,0.7501,top_surface,top_series,1,1
5,550.0,100.0,-100.0,0.6876,0.53135,0.7501,top_surface,top_series,1,1
6,200.0,0.0,-300.0,0.3751,0.46885,0.59385,layer1,middle_series,2,2
7,200.0,100.0,-300.0,0.3751,0.53135,0.59385,layer1,middle_series,2,2
8,400.0,0.0,-300.0,0.5626,0.46885,0.59385,layer1,middle_series,2,2
9,400.0,100.0,-300.0,0.5626,0.53135,0.59385,layer1,middle_series,2,2
10,250.0,0.0,-500.0,0.4376,0.46885,0.4376,layer2,middle_series,3,2
11,250.0,100.0,-500.0,0.4376,0.53135,0.4376,layer2,middle_series,3,2
12,450.0,0.0,-500.0,0.6251,0.46885,0.4376,layer2,middle_series,3,2
13,450.0,100.0,-500.0,0.6251,0.53135,0.4376,layer2,middle_series,3,2
14,100.0,0.0,-200.0,0.2501,0.46885,0.7501,fault_surface,fault_series,4,3
15,100.0,100.0,-200.0,0.2501,0.53135,0.7501,fault_surface,fault_series,4,3
16,500.0,0.0,-800.0,0.6876,0.46885,0.3126,fault_surface,fault_series,4,3
17,500.0,100.0,-800.0,0.6876,0.53135,0.3126,fault_surface,fault_series,4,3
18,300.0,0.0,-600.0,0.5001,0.46885,0.5001,basement,basement_series,5,4
19,300.0,100.0,-600.0,0.5001,0.53135,0.5001,basement,basement_series,5,4
20,0.0,0.0,-400.0,0.1876,0.46885,0.6251,intrusion,intrusion_series,6,5
21,0.0,100.0,-400.0,0.1876,0.53135,0.6251,intrusion,intrusion_series,6,5
22,600.0,0.0,-900.0,0.7501,0.46885,0.1876,intrusion,intrusion_series,6,5
23,600.0,100.0,-900.0,0.7501,0.53135,0.1876,intrusion,intrusion_series,6,5
