,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series
0,220.0,50.0,-220.0,0.32855,0.5001,0.73495,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
1,520.0,50.0,-220.0,0.51535,0.5001,0.73495,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
2,820.0,50.0,-220.0,0.7021,0.5001,0.73495,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
4,720.0,50.0,-480.0,0.64035,0.5001,0.57835,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock1,right_series,2,2
3,920.0,50.0,-480.0,0.7651,0.5001,0.57835,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock1,right_series,2,2
6,720.0,50.0,-720.0,0.64035,0.5001,0.42185,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock2,right_series,3,2
5,920.0,50.0,-720.0,0.7651,0.5001,0.42185,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock2,right_series,3,2
7,320.0,50.0,-220.0,0.39035,0.5001,0.73495,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,onlap_surface,onlap_series,4,3
8,720.0,50.0,-1020.0,0.64035,0.5001,0.23495,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,onlap_surface,onlap_series,4,3
9,580.0,50.0,-520.0,0.54685,0.5001,0.54685,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,onlap_surface,onlap_series,4,3
10,120.0,50.0,-420.0,0.2651,0.5001,0.60935,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock3,left_series,5,4
11,480.0,50.0,-1020.0,0.48435,0.5001,0.23495,1.000000000001,2.3054614646942163e-12,1.0000612323399569e-12,90.0,89.9999999999252,1.0,rock3,left_series,5,4
12,320.0,50.0,-520.0,0.39035,0.5001,0.54685,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,49.99999999992522,89.9999999999252,1.0,rock3,left_series,5,4
13,150.0,50.0,-600.0,0.2966,0.5001,0.51535,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,89.9999999999252,1.0,new_rock3,left_series,6,4
