,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,100.0,0.0,0.0,0.2501,0.46885,1.0,surface1,series1,1,1
1,100.0,100.0,0.0,0.2501,0.53135,1.0,surface1,series1,1,1
2,300.0,0.0,0.0,0.3751,0.46885,1.0,surface1,series1,1,1
3,300.0,100.0,0.0,0.3751,0.53135,1.0,surface1,series1,1,1
4,200.0,0.0,-200.0,0.3126,0.46885,0.7501,surface2,series2,2,2
5,200.0,100.0,-200.0,0.3126,0.53135,0.7501,surface2,series2,2,2
6,400.0,0.0,-200.0,0.4376,0.46885,0.7501,surface2,series2,2,2
7,400.0,100.0,-200.0,0.4376,0.53135,0.7501,surface2,series2,2,2
8,250.0,0.0,-400.0,0.3431,0.46885,0.6251,surface3,series3,3,3
9,250.0,100.0,-400.0,0.3431,0.53135,0.6251,surface3,series3,3,3
10,450.0,0.0,-400.0,0.46885,0.46885,0.6251,surface3,series3,3,3
11,450.0,100.0,-400.0,0.46885,0.53135,0.6251,surface3,series3,3,3
12,300.0,0.0,-600.0,0.3751,0.46885,0.5001,surface4,series4,4,4
13,300.0,100.0,-600.0,0.3751,0.53135,0.5001,surface4,series4,4,4
14,500.0,0.0,-600.0,0.5001,0.46885,0.5001,surface4,series4,4,4
15,500.0,100.0,-600.0,0.5001,0.53135,0.5001,surface4,series4,4,4
16,350.0,0.0,-800.0,0.4063,0.46885,0.3751,surface5,series5,5,5
17,350.0,100.0,-800.0,0.4063,0.53135,0.3751,surface5,series5,5,5
18,550.0,0.0,-800.0,0.53135,0.46885,0.3751,surface5,series5,5,5
19,550.0,100.0,-800.0,0.53135,0.53135,0.3751,surface5,series5,5,5
