,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,100.0,0.0,0.0,0.2501,0.46885,1.0,topography,topography_series,1,1
1,100.0,100.0,0.0,0.2501,0.53135,1.0,topography,topography_series,1,1
2,400.0,0.0,0.0,0.4376,0.46885,1.0,topography,topography_series,1,1
3,400.0,100.0,0.0,0.4376,0.53135,1.0,topography,topography_series,1,1
4,700.0,0.0,0.0,0.6251,0.46885,1.0,topography,topography_series,1,1
5,700.0,100.0,0.0,0.6251,0.53135,1.0,topography,topography_series,1,1
6,200.0,0.0,-300.0,0.3126,0.46885,0.6876,layer1,layer_series,2,2
7,200.0,100.0,-300.0,0.3126,0.53135,0.6876,layer1,layer_series,2,2
8,500.0,0.0,-300.0,0.5001,0.46885,0.6876,layer1,layer_series,2,2
9,500.0,100.0,-300.0,0.5001,0.53135,0.6876,layer1,layer_series,2,2
10,300.0,0.0,-600.0,0.3751,0.46885,0.5001,layer2,layer_series,3,2
11,300.0,100.0,-600.0,0.3751,0.53135,0.5001,layer2,layer_series,3,2
12,600.0,0.0,-600.0,0.5626,0.46885,0.5001,layer2,layer_series,3,2
13,600.0,100.0,-600.0,0.5626,0.53135,0.5001,layer2,layer_series,3,2
14,100.0,0.0,-900.0,0.2501,0.46885,0.2501,basement,basement_series,4,3
15,100.0,100.0,-900.0,0.2501,0.53135,0.2501,basement,basement_series,4,3
16,450.0,0.0,-900.0,0.46885,0.46885,0.2501,basement,basement_series,4,3
17,450.0,100.0,-900.0,0.46885,0.53135,0.2501,basement,basement_series,4,3
18,250.0,0.0,-1200.0,0.343,0.46885,0.0625,intrusion,intrusion_series,5,4
19,250.0,100.0,-1200.0,0.343,0.53135,0.0625,intrusion,intrusion_series,5,4
20,550.0,0.0,-1200.0,0.53135,0.46885,0.0625,intrusion,intrusion_series,5,4
21,550.0,100.0,-1200.0,0.53135,0.53135,0.0625,intrusion,intrusion_series,5,4
