,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series
0,250.0,50.0,-100.0,0.4376,0.5001,0.7501,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,top_surface,top_series,1,1
1,650.0,50.0,-250.0,0.6876,0.5001,0.5626,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,layer1,middle_series,2,2
2,350.0,50.0,-500.0,0.5001,0.5001,0.4376,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,layer2,left_series,3,3
3,700.0,50.0,-850.0,0.7501,0.5001,0.2501,1.000000000001,2.3054614646942163e-12,1.0000612323399569e-12,90.0,89.9999999999252,1.0,layer3,right_series,4,4
4,200.0,50.0,-350.0,0.3751,0.5001,0.6251,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,layer2,left_series,3,3
5,250.0,50.0,-450.0,0.4376,0.5001,0.5626,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,49.99999999992522,89.9999999999252,1.0,intrusion,intrusion_series,5,6
6,150.0,50.0,-200.0,0.3126,0.5001,0.7501,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,basement,basement_series,6,5
7,550.0,50.0,-700.0,0.53135,0.5001,0.3751,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,intrusion,intrusion_series,5,6
8,400.0,50.0,-300.0,0.46885,0.5001,0.6251,0.342020143261346,1.0000158119166712e-12,0.9396926207859084,70.0,90.0,1.0,layer1,middle_series,2,2
9,750.0,50.0,-400.0,0.7501,0.5001,0.59385,0.342020143261346,1.0000158119166712e-12,0.9396926207859084,70.0,90.0,1.0,layer1,middle_series,2,2
