,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series
0,250.0,50.0,-100.0,0.359375,0.5,0.8751,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,top_surface,top_series,1,1
1,550.0,50.0,-100.0,0.515625,0.5,0.8751,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,top_surface,top_series,1,1
2,800.0,50.0,-300.0,0.65625,0.5,0.6875,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,layer1,middle_series,2,2
3,650.0,50.0,-600.0,0.59375,0.5,0.5,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,layer2,middle_series,3,2
4,400.0,50.0,-800.0,0.4375,0.5,0.3751,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,basement_surface,basement_series,4,3
5,250.0,50.0,-400.0,0.359375,0.5,0.6251,0.9396926207859084,1.1506109103111083e-12,0.3420201432645461,70.0,90.0,1.0,intrusion,intrusion_series,5,4
6,550.0,50.0,-700.0,0.515625,0.5,0.4375,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,89.9999999999252,1.0,intrusion,intrusion_series,5,4
7,700.0,50.0,-450.0,0.625,0.5,0.5625,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,layer1,middle_series,2,2
8,300.0,50.0,-750.0,0.40625,0.5,0.40625,1.000000000001,2.3054614646942163e-12,1.0000612323399569e-12,90.0,89.9999999999252,1.0,basement_surface,basement_series,4,3
9,450.0,50.0,-500.0,0.484375,0.5,0.5625,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,layer2,middle_series,3,2
10,150.0,50.0,-650.0,0.328125,0.5,0.484375,0.9396926207859084,1.1506109103111083e-12,0.3420201432645461,70.0,89.9999999999252,1.0,intrusion,intrusion_series,5,4
