,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series
0,240.0,50.0,-240.0,0.3438,0.5001,0.8125,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
1,520.0,50.0,-240.0,0.5156,0.5001,0.7813,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
2,820.0,50.0,-240.0,0.7031,0.5001,0.7813,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
4,740.0,50.0,-490.0,0.6563,0.5001,0.625,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,40.0,90.0,1.0,rock1,right_series,2,2
3,940.0,50.0,-490.0,0.7813,0.5001,0.625,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock1,right_series,2,2
6,740.0,50.0,-740.0,0.6563,0.5001,0.4688,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock2,right_series,3,2
5,940.0,50.0,-740.0,0.7813,0.5001,0.4688,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,rock2,right_series,3,2
7,340.0,50.0,-240.0,0.4063,0.5001,0.7813,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,onlap_surface,onlap_series,4,3
8,740.0,50.0,-1040.0,0.6563,0.5001,0.2813,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,onlap_surface,onlap_series,4,3
9,590.0,50.0,-540.0,0.5469,0.5001,0.5938,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,onlap_surface,onlap_series,4,3
10,140.0,50.0,-440.0,0.2813,0.5001,0.6563,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock3,left_series,5,4
11,490.0,50.0,-1040.0,0.5,0.5001,0.2813,1.000000000001,2.3054614646942163e-12,1.0000612323399569e-12,90.0,89.9999999999252,1.0,rock3,left_series,5,4
12,340.0,50.0,-540.0,0.4063,0.5001,0.5938,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,49.99999999992522,89.9999999999252,1.0,rock3,left_series,5,4
