,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,150.0,0.0,0.0,0.3126,0.46885,0.7501,top_surface,top_series,1,1
1,150.0,100.0,0.0,0.3126,0.53135,0.7501,top_surface,top_series,1,1
2,350.0,0.0,0.0,0.5001,0.46885,0.7501,top_surface,top_series,1,1
3,350.0,100.0,0.0,0.5001,0.53135,0.7501,top_surface,top_series,1,1
4,200.0,0.0,-200.0,0.3751,0.46885,0.59385,layer1,middle_series,2,2
5,200.0,100.0,-200.0,0.3751,0.53135,0.59385,layer1,middle_series,2,2
6,300.0,0.0,-200.0,0.4376,0.46885,0.59385,layer1,middle_series,2,2
7,300.0,100.0,-200.0,0.4376,0.53135,0.59385,layer1,middle_series,2,2
8,250.0,0.0,-400.0,0.40625,0.46885,0.4376,layer2,middle_series,3,2
9,250.0,100.0,-400.0,0.40625,0.53135,0.4376,layer2,middle_series,3,2
10,100.0,0.0,-300.0,0.2501,0.46885,0.5001,layer3,left_series,4,3
11,100.0,100.0,-300.0,0.2501,0.53135,0.5001,layer3,left_series,4,3
12,400.0,0.0,-600.0,0.5626,0.46885,0.3126,layer3,left_series,4,3
13,400.0,100.0,-600.0,0.5626,0.53135,0.3126,layer3,left_series,4,3
14,50.0,0.0,-100.0,0.21875,0.46885,0.6876,basement,basement_series,5,4
15,50.0,100.0,-100.0,0.21875,0.53135,0.6876,basement,basement_series,5,4
16,450.0,0.0,-100.0,0.59385,0.46885,0.6876,basement,basement_series,5,4
17,450.0,100.0,-100.0,0.59385,0.53135,0.6876,basement,basement_series,5,4
