,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series
0,220.0,60.0,-220.0,0.3431,0.5201,0.7501,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
1,520.0,60.0,-220.0,0.5201,0.5201,0.7501,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
2,820.0,60.0,-220.0,0.7076,0.5201,0.7501,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,seafloor,seafloor_series,1,1
4,720.0,60.0,-480.0,0.6451,0.5201,0.59385,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock1,right_series,2,2
3,920.0,60.0,-480.0,0.7701,0.5201,0.59385,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock1,right_series,2,2
6,720.0,60.0,-720.0,0.6451,0.5201,0.4376,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock2,right_series,3,2
5,920.0,60.0,-720.0,0.7701,0.5201,0.4376,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock2,right_series,3,2
7,320.0,60.0,-220.0,0.3951,0.5201,0.7501,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,onlap_surface,onlap_series,4,3
8,720.0,60.0,-1020.0,0.6451,0.5201,0.2501,1.000000000001,1.0000612323399569e-12,1.0000612323399569e-12,90.0,90.0,1.0,onlap_surface,onlap_series,4,3
9,580.0,60.0,-520.0,0.55135,0.5201,0.5626,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,50.0,90.0,1.0,onlap_surface,onlap_series,4,3
10,120.0,60.0,-420.0,0.2701,0.5201,0.6251,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock3,left_series,5,4
11,480.0,60.0,-1020.0,0.48885,0.5201,0.2501,1.000000000001,2.3054614646942163e-12,1.0000612323399569e-12,90.0,89.9999999999252,1.0,rock3,left_series,5,4
12,320.0,60.0,-520.0,0.3951,0.5201,0.5626,0.766044443119978,1.0000469066937634e-12,0.6427876096875393,49.99999999992522,89.9999999999252,1.0,rock3,left_series,5,4
13,400.0,60.0,-800.0,0.4376,0.5201,0.3751,0.6427876096875393,1e-12,0.766044443119978,50.0,0.0,1.0,new_rock,new_series,6,5
