,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,150.0,0.0,-300.0,0.3126,0.46885,0.7501,top_surface,top_series,1,1
1,150.0,100.0,-300.0,0.3126,0.53135,0.7501,top_surface,top_series,1,1
2,400.0,0.0,-300.0,0.5001,0.46885,0.7501,top_surface,top_series,1,1
3,400.0,100.0,-300.0,0.5001,0.53135,0.7501,top_surface,top_series,1,1
4,600.0,0.0,-600.0,0.6251,0.46885,0.59385,lower_layer,middle_series,2,2
5,600.0,100.0,-600.0,0.6251,0.53135,0.59385,lower_layer,middle_series,2,2
6,800.0,0.0,-600.0,0.7501,0.46885,0.59385,lower_layer,middle_series,2,2
7,800.0,100.0,-600.0,0.7501,0.53135,0.59385,lower_layer,middle_series,2,2
8,300.0,0.0,-900.0,0.3751,0.46885,0.4376,basement_layer,bottom_series,3,3
9,300.0,100.0,-900.0,0.3751,0.53135,0.4376,basement_layer,bottom_series,3,3
10,500.0,0.0,-900.0,0.53135,0.46885,0.4376,basement_layer,bottom_series,3,3
11,500.0,100.0,-900.0,0.53135,0.53135,0.4376,basement_layer,bottom_series,3,3
12,100.0,0.0,-400.0,0.2501,0.46885,0.6251,intrusive_dike,right_series,4,4
13,100.0,100.0,-400.0,0.2501,0.53135,0.6251,intrusive_dike,right_series,4,4
14,250.0,0.0,-700.0,0.3751,0.46885,0.5001,intrusive_dike,right_series,4,4
15,250.0,100.0,-700.0,0.3751,0.53135,0.5001,intrusive_dike,right_series,4,4
16,700.0,0.0,-1000.0,0.6876,0.46885,0.3126,intrusive_dike,right_series,4,4
17,700.0,100.0,-1000.0,0.6876,0.53135,0.3126,intrusive_dike,right_series,4,4
18,450.0,0.0,-500.0,0.46885,0.46885,0.5626,upper_layer,middle_series,5,2
19,450.0,100.0,-500.0,0.46885,0.53135,0.5626,upper_layer,middle_series,5,2
20,200.0,0.0,-200.0,0.3126,0.46885,0.7501,top_surface,top_series,1,1
21,200.0,100.0,-200.0,0.3126,0.53135,0.7501,top_surface,top_series,1,1
22,550.0,0.0,-800.0,0.53135,0.46885,0.4376,basement_layer,bottom_series,3,3
23,550.0,100.0,-800.0,0.53135,0.53135,0.4376,basement_layer,bottom_series,3,3
