,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,4500,2500,1000,0,0,0,Sandstone,Sedimentary,1,0
1,5000,2000,1200,0,0,0,Sandstone,Sedimentary,1,0
2,5500,2500,1000,0,0,0,Sandstone,Sedimentary,1,0
3,4000,3000,800,0,0,0,Limestone,Sedimentary,2,0
4,4500,3500,900,0,0,0,Limestone,Sedimentary,2,0
5,5000,3000,700,0,0,0,Limestone,Sedimentary,2,0
6,3500,2500,600,0,0,0,Shale,Sedimentary,3,0
7,4000,2000,500,0,0,0,Shale,Sedimentary,3,0
8,4500,2500,400,0,0,0,Shale,Sedimentary,3,0
9,4200,2800,1100,0,0,0,Granite,Intrusive,4,1
10,4800,3200,1200,0,0,0,Granite,Intrusive,4,1
11,4400,2600,1000,0,0,0,Granite,Intrusive,4,1
12,3800,2200,300,0,0,0,Sandstone,Sedimentary,1,0
13,5200,2800,900,0,0,0,Limestone,Sedimentary,2,0
14,4600,2400,800,0,0,0,Shale,Sedimentary,3,0
15,5000,3500,1100,0,0,0,Granite,Intrusive,4,1
16,4200,2000,400,0,0,0,Shale,Sedimentary,3,0
17,4800,2500,1000,0,0,0,Sandstone,Sedimentary,1,0
18,4000,3500,700,0,0,0,Limestone,Sedimentary,2,0
19,4400,3000,600,0,0,0,Shale,Sedimentary,3,0
